Code,Name,Geographic Level,Old names,City Class,"Income
Classification","Urban / Rural
(based on 2015 Population)",2015 Population,,2020 Population
045809000,Morong,Mun,,,2nd,," 58,118 ",," 71,151 "
045809001,Bombongan,Bgy,,,,R," 3,684 ",," 3,888 "
045809002,Can-Cal-Lan,Bgy,Caniogan-Calero-Lanang,,,R," 4,714 ",," 4,917 "
045809003,Lagundi,Bgy,,,,U," 9,665 ",," 10,076 "
045809004,Maybancal,Bgy,,,,U," 8,725 ",," 17,979 "
045809005,San Guillermo,Bgy,,,,U," 9,722 ",," 12,758 "
045809006,San Jose (Pob.),Bgy,,,,R," 4,333 ",," 4,293 "
045809007,San Juan (Pob.),Bgy,,,,U," 10,715 ",," 11,184 "
045809008,San Pedro (Pob.),Bgy,,,,U," 6,560 ",," 6,056 "
045810000,Pililla,Mun,,,1st,," 64,812 ",," 71,535 "
045810001,Bagumbayan (Pob.),Bgy,,,,U," 11,101 ",," 13,468 "
045810003,Halayhayin,Bgy,,,,U," 8,090 ",," 9,210 "
045810004,Hulo (Pob.),Bgy,,,,U," 9,966 ",," 11,243 "
045810005,Imatong (Pob.),Bgy,,,,R, 931 ,, 957
045810006,Malaya,Bgy,,,,U," 7,748 ",," 7,550 "
045810007,Niogan,Bgy,,,,R," 4,938 ",," 5,816 "
045810008,Quisao,Bgy,,,,U," 15,826 ",," 17,302 "
045810009,Wawa (Pob.),Bgy,,,,R," 4,535 ",," 4,366 "
045810010,Takungan (Pob.),Bgy,,,,R," 1,677 ",," 1,623 "
045811000,San Mateo,Mun,,,1st,," 252,527 ",," 273,306 "
045811001,Ampid I,Bgy,,,,U," 28,840 ",," 27,346 "
045811002,Dulong Bayan 1,Bgy,,,,U," 6,944 ",," 5,229 "
045811003,Dulong Bayan 2,Bgy,,,,U," 8,777 ",," 13,072 "
045811004,Guinayang,Bgy,,,,U," 9,241 ",," 9,871 "
045811005,Guitnang Bayan I (Pob.),Bgy,,,,U," 30,598 ",," 35,121 "
045811006,Guitnang Bayan II (Pob.),Bgy,,,,U," 17,243 ",," 19,661 "
045811007,Malanday,Bgy,,,,U," 15,707 ",," 14,526 "
045811008,Maly,Bgy,,,,U," 13,865 ",," 14,612 "
045811010,Santa Ana,Bgy,,,,U," 10,160 ",," 10,862 "
045811011,Ampid II,Bgy,,,,U," 6,242 ",," 4,657 "
045811012,Banaba,Bgy,,,,U," 24,950 ",," 27,910 "
045811013,Gulod Malaya,Bgy,,,,U," 11,406 ",," 12,962 "
045811014,Pintong Bocawe,Bgy,,,,R," 4,156 ",," 5,657 "
045811015,Santo Ni�o,Bgy,,,,U," 11,402 ",," 12,769 "
045811016,Silangan,Bgy,,,,U," 52,996 ",," 59,051 "
045812000,Tanay,Mun,,,1st,," 117,830 ",," 139,420 "
045812001,Cayabu,Bgy,,,,R, 698 ,," 1,013 "
045812002,Cuyambay,Bgy,,,,R," 2,899 ",," 4,112 "
045812003,Daraitan,Bgy,,,,R," 4,682 ",," 5,743 "
045812004,Katipunan-Bayan (Pob.),Bgy,,,,U," 5,727 ",," 6,100 "
045812005,Kaybuto (Pob.),Bgy,,,,U," 7,669 ",," 9,148 "
045812006,Laiban,Bgy,,,,R," 1,952 ",," 2,332 "
045812007,Mag-Ampon (Pob.),Bgy,,,,U," 2,036 ",," 1,874 "
045812008,Mamuyao,Bgy,,,,R, 767 ,, 918
045812009,Pinagkamaligan (Pob.),Bgy,,,,U," 2,851 ",," 3,626 "
045812011,Plaza Aldea (Pob.),Bgy,,,,U," 21,355 ",," 30,160 "
045812012,Sampaloc,Bgy,,,,U," 30,341 ",h/," 31,000 "
045812013,San Andres,Bgy,,,,R," 1,405 ",," 1,454 "
045812014,San Isidro (Pob.),Bgy,,,,U," 3,383 ",," 3,329 "
045812015,Santa Inez,Bgy,,,,R," 2,202 ",," 2,420 "
045812016,Santo Ni�o,Bgy,,,,R," 1,075 ",," 1,226 "
045812017,Tabing Ilog (Pob.),Bgy,,,,U," 1,871 ",," 1,995 "
045812018,Tandang Kutyo (Pob.),Bgy,,,,U," 18,023 ",," 20,754 "
045812019,Tinucan,Bgy,,,,R, 842 ,," 1,016 "
045812020,Wawa (Pob.),Bgy,,,,U," 8,052 ",," 8,394 "
045812021,Madilay-dilay,Bgy,,,,,-,," 2,806 "
045813000,Taytay,Mun,,,1st,," 319,104 ",," 386,451 "
045813001,Dolores (Pob.),Bgy,,,,U," 61,115 ",," 75,504 "
045813002,Muzon,Bgy,,,,U," 26,523 ",," 34,078 "
045813003,San Isidro,Bgy,,,,U," 36,780 ",," 41,455 "
045813004,San Juan,Bgy,,,,U," 103,343 ",," 127,999 "
045813005,Santa Ana,Bgy,,,,U," 91,343 ",," 107,415 "
045814000,Teresa,Mun,,,2nd,," 57,755 ",," 64,072 "
045814001,Bagumbayan,Bgy,,,,U," 11,638 ",," 16,283 "
045814003,Dalig,Bgy,,,,U," 12,365 ",," 15,698 "
045814004,Dulumbayan,Bgy,,,,U," 8,353 ",," 9,295 "
045814005,May-Iba,Bgy,,,,U," 8,590 ",," 6,170 "
045814006,Poblacion,Bgy,,,,U," 2,519 ",," 1,557 "
045814007,Prinza,Bgy,,,,U," 5,247 ",," 7,500 "
045814008,San Gabriel,Bgy,,,,U," 3,950 ",," 2,639 "
045814009,San Roque,Bgy,,,,R," 3,383 ",," 3,474 "
045814010,Calumpang Santo Cristo,Bgy,,,,R," 1,710 ",," 1,456 "
170000000,MIMAROPA Region,Reg,,,,," 2,963,360 ",," 3,228,558 "
174000000,Marinduque,Prov,,,4th,," 234,521 ",," 239,207 "
174001000,Boac (Capital),Mun,,,1st,," 54,730 ",," 57,283 "
174001001,Agot,Bgy,,,,R, 697 ,, 651
174001002,Agumaymayan,Bgy,,,,R, 531 ,, 594
174001003,Amoingon,Bgy,,,,R," 1,316 ",," 1,367 "
174001004,Apitong,Bgy,,,,R, 436 ,, 402
174001005,Balagasan,Bgy,,,,R, 752 ,, 788
174001006,Balaring,Bgy,,,,R, 521 ,, 562
174001007,Balimbing,Bgy,,,,R," 1,492 ",," 1,612 "
174001008,Balogo,Bgy,,,,R," 1,565 ",," 1,548 "
174001009,Bangbangalon,Bgy,,,,R," 1,260 ",," 1,462 "
174001010,Bamban,Bgy,,,,R, 438 ,, 495
174001011,Bantad,Bgy,,,,R," 1,334 ",," 1,340 "
174001012,Bantay,Bgy,,,,R," 1,478 ",," 1,577 "
174001013,Bayuti,Bgy,,,,R, 200 ,, 180
174001014,Binunga,Bgy,,,,R, 711 ,, 659
174001015,Boi,Bgy,,,,R, 693 ,, 678
174001016,Boton,Bgy,,,,R, 228 ,, 304
174001017,Buliasnin,Bgy,,,,R," 1,296 ",," 1,457 "
174001018,Bunganay,Bgy,,,,R," 1,903 ",," 2,019 "
174001019,Maligaya,Bgy,,,,R, 772 ,, 736
174001020,Caganhao,Bgy,,,,R," 1,040 ",," 1,117 "
174001021,Canat,Bgy,,,,R, 610 ,, 492
174001022,Catubugan,Bgy,,,,R, 651 ,, 726
174001023,Cawit,Bgy,,,,R," 2,417 ",," 2,600 "
174001024,Daig,Bgy,,,,R, 531 ,, 624
174001025,Daypay,Bgy,,,,R, 320 ,, 354
174001026,Duyay,Bgy,,,,R," 1,555 ",," 1,679 "
174001027,Ihatub,Bgy,,,,U," 1,179 ",," 1,361 "
174001028,Isok II Pob.,Bgy,Kalamias,,,R, 753 ,, 769
174001029,Hinapulan,Bgy,,,,R, 653 ,, 725
174001030,Laylay,Bgy,,,,U," 2,540 ",," 2,860 "
174001031,Lupac,Bgy,,,,R," 1,732 ",," 1,732 "
174001032,Mahinhin,Bgy,,,,R, 623 ,, 587
174001033,Mainit,Bgy,,,,R, 852 ,," 1,013 "
174001034,Malbog,Bgy,,,,R, 489 ,, 389
174001035,Malusak (Pob.),Bgy,,,,R, 293 ,, 292
174001036,Mansiwat,Bgy,,,,R, 385 ,, 421
174001037,Mataas Na Bayan (Pob.),Bgy,,,,R, 571 ,, 540
174001038,Maybo,Bgy,,,,R, 930 ,," 1,047 "
174001039,Mercado (Pob.),Bgy,,,,R," 1,475 ",," 1,359 "
174001040,Murallon (Pob.),Bgy,,,,U, 513 ,, 400
174001041,Ogbac,Bgy,,,,R, 371 ,, 460
174001042,Pawa,Bgy,,,,R, 792 ,, 684
174001043,Pili,Bgy,,,,R, 367 ,, 371
174001044,Poctoy,Bgy,,,,R, 333 ,, 386
174001045,Poras,Bgy,,,,R, 982 ,," 1,098 "
174001046,Puting Buhangin,Bgy,,,,R, 530 ,, 436
174001047,Puyog,Bgy,,,,R, 904 ,, 981
174001048,Sabong,Bgy,,,,R, 85 ,, 137
174001049,San Miguel (Pob.),Bgy,,,,U, 216 ,, 152
174001050,Santol,Bgy,,,,R," 1,670 ",," 2,012 "
174001051,Sawi,Bgy,,,,R, 989 ,," 1,059 "
174001052,Tabi,Bgy,,,,R," 1,525 ",," 1,726 "
174001053,Tabigue,Bgy,,,,R, 876 ,, 962
174001054,Tagwak,Bgy,,,,R, 346 ,, 340
174001055,Tambunan,Bgy,,,,R, 573 ,, 574
174001056,Tampus (Pob.),Bgy,,,,U," 1,246 ",," 1,112 "
174001057,Tanza,Bgy,,,,R," 1,810 ",," 1,997 "
174001058,Tugos,Bgy,,,,R," 1,514 ",," 1,459 "
174001059,Tumagabok,Bgy,,,,R, 408 ,, 426
174001060,Tumapon,Bgy,,,,R, 181 ,, 194
174001061,Isok I (Pob.),Bgy,,,,R," 1,277 ",," 1,199 "
174002000,Buenavista,Mun,,,4th,," 23,988 ",," 26,043 "
174002001,Bagacay,Bgy,,,,R," 1,091 ",," 1,094 "
174002002,Bagtingon,Bgy,,,,R," 1,623 ",," 1,970 "
174002003,Bicas-bicas,Bgy,,,,R, 775 ,, 862
174002004,Caigangan,Bgy,,,,R," 2,459 ",," 2,613 "
174002005,Daykitin,Bgy,,,,R," 3,011 ",," 3,408 "
174002006,Libas,Bgy,,,,R," 2,301 ",," 2,450 "
174002007,Malbog,Bgy,,,,R," 1,782 ",," 2,110 "
174002011,Sihi,Bgy,,,,R," 1,478 ",," 1,403 "
174002012,Timbo,Bgy,Sanggulong,,,R," 1,030 ",," 1,010 "
174002013,Tungib-Lipata,Bgy,,,,R," 2,299 ",," 2,641 "
174002014,Yook,Bgy,,,,R," 3,249 ",," 3,681 "
174002015,Barangay I (Pob.),Bgy,,,,R," 1,255 ",," 1,367 "
174002016,Barangay II (Pob.),Bgy,,,,R, 413 ,, 341
174002017,Barangay III (Pob.),Bgy,,,,R, 584 ,, 445
174002018,Barangay IV (Pob.),Bgy,,,,R, 638 ,, 648
174003000,Gasan,Mun,,,3rd,," 34,828 ",," 36,197 "
174003001,Antipolo,Bgy,,,,R," 1,560 ",," 1,519 "
174003003,Bachao Ibaba,Bgy,,,,R," 1,027 ",," 1,087 "
174003004,Bachao Ilaya,Bgy,,,,R," 1,036 ",, 954
174003005,Bacongbacong,Bgy,,,,R," 1,022 ",," 1,119 "
174003006,Bahi,Bgy,,,,R," 1,953 ",," 2,005 "
174003007,Bangbang,Bgy,,,,R," 1,602 ",," 1,558 "
174003008,Banot,Bgy,,,,R, 909 ,, 804
174003009,Banuyo,Bgy,,,,R," 1,564 ",," 1,599 "
174003010,Bognuyan,Bgy,,,,R, 977 ,, 996
174003011,Cabugao,Bgy,,,,R, 814 ,, 853
174003012,Dawis,Bgy,,,,R," 1,999 ",," 2,133 "
174003013,Dili,Bgy,,,,R," 1,821 ",," 1,911 "
174003014,Libtangin,Bgy,,,,R," 1,451 ",," 1,676 "
174003015,Mahunig,Bgy,,,,R," 1,038 ",," 1,158 "
174003016,Mangiliol,Bgy,,,,R, 532 ,, 531
174003017,Masiga,Bgy,,,,R," 2,777 ",," 2,750 "
174003018,Matandang Gasan,Bgy,,,,R," 1,581 ",," 1,830 "
174003019,Pangi,Bgy,,,,R," 1,755 ",," 1,757 "
174003020,Pingan,Bgy,,,,R," 2,059 ",," 2,411 "
174003021,Tabionan,Bgy,,,,R," 1,222 ",," 1,342 "
174003022,Tapuyan,Bgy,,,,R," 1,371 ",," 1,409 "
174003023,Tiguion,Bgy,,,,R," 2,966 ",," 3,217 "
174003024,Barangay I (Pob.),Bgy,,,,R, 816 ,, 686
174003025,Barangay II (Pob.),Bgy,,,,R, 373 ,, 327
174003026,Barangay III (Pob.),Bgy,,,,R, 603 ,, 565
174004000,Mogpog,Mun,,,3rd,," 34,043 ",," 34,516 "
174004001,Anapog-Sibucao,Bgy,,,,R, 787 ,, 800
174004002,Argao,Bgy,,,,R," 1,249 ",," 1,141 "
174004003,Balanacan,Bgy,,,,R," 3,258 ",," 3,482 "
174004004,Banto,Bgy,,,,R, 320 ,, 315
174004005,Bintakay,Bgy,,,,R," 2,382 ",," 2,461 "
174004006,Bocboc,Bgy,,,,R, 675 ,, 682
174004007,Butansapa,Bgy,,,,R, 966 ,, 935
174004008,Candahon,Bgy,,,,R, 386 ,, 478
174004009,Capayang,Bgy,,,,R," 1,311 ",," 1,499 "
174004010,Danao,Bgy,,,,R, 663 ,, 825
174004011,Dulong Bayan (Pob.),Bgy,,,,R, 757 ,, 762
174004012,Gitnang Bayan (Pob.),Bgy,,,,R, 501 ,, 440
174004013,Guisian,Bgy,,,,R," 1,372 ",," 1,405 "
174004014,Hinadharan,Bgy,,,,R, 195 ,, 217
174004015,Hinanggayon,Bgy,,,,R, 495 ,, 569
174004016,Ino,Bgy,,,,R," 1,472 ",," 1,489 "
174004017,Janagdong,Bgy,,,,R," 1,402 ",," 1,484 "
174004018,Lamesa,Bgy,,,,R, 494 ,, 599
174004019,Laon,Bgy,,,,R," 1,451 ",," 1,391 "
174004020,Magapua,Bgy,,,,R," 1,150 ",," 1,124 "
174004021,Malayak,Bgy,,,,R, 351 ,, 248
174004022,Malusak,Bgy,,,,R, 365 ,, 402
174004023,Mampaitan,Bgy,,,,R, 216 ,, 219
174004024,Mangyan-Mababad,Bgy,,,,R, 246 ,, 296
174004025,Market Site (Pob.),Bgy,,,,R, 864 ,, 931
174004026,Mataas Na Bayan,Bgy,,,,R, 739 ,, 717
174004027,Mendez,Bgy,,,,R, 722 ,, 708
174004028,Nangka I,Bgy,,,,R," 1,146 ",, 976
174004029,Nangka II,Bgy,,,,R, 940 ,," 1,014 "
174004030,Paye,Bgy,,,,R," 1,188 ",, 977
174004032,Pili,Bgy,,,,R, 526 ,, 529
174004033,Puting Buhangin,Bgy,,,,R, 749 ,, 651
174004034,Sayao,Bgy,,,,R," 1,456 ",," 1,417 "
174004035,Silangan,Bgy,,,,R, 748 ,, 660
174004036,Sumangga,Bgy,,,,R," 1,315 ",," 1,508 "
174004037,Tarug,Bgy,,,,R, 580 ,, 515
174004038,Villa Mendez (Pob.),Bgy,,,,R, 606 ,, 650
174005000,Santa Cruz,Mun,,,1st,," 56,408 ",," 54,692 "
174005001,Alobo,Bgy,,,,R," 1,087 ",, 971
174005002,Angas,Bgy,,,,R," 1,169 ",, 978
174005003,Aturan,Bgy,,,,R," 1,196 ",," 1,333 "
174005004,Bagong Silang Pob.,Bgy,2nd Zone,,,R," 1,057 ",, 956
174005005,Baguidbirin,Bgy,,,,R, 187 ,, 150
174005006,Baliis,Bgy,,,,R, 724 ,, 670
174005007,Balogo,Bgy,,,,R," 1,114 ",," 1,002 "
174005008,Banahaw Pob.,Bgy,3rd Zone,,,R," 2,211 ",," 1,872 "
174005009,Bangcuangan,Bgy,,,,R, 662 ,, 771
174005010,Banogbog,Bgy,,,,R, 454 ,, 416
174005011,Biga,Bgy,,,,R, 336 ,, 376
174005012,Botilao,Bgy,,,,R," 1,100 ",, 921
174005013,Buyabod,Bgy,,,,R," 2,719 ",," 2,837 "
174005014,Dating Bayan,Bgy,,,,R, 419 ,, 387
174005015,Devilla,Bgy,,,,R, 633 ,, 567
174005016,Dolores,Bgy,,,,R," 1,535 ",," 1,494 "
174005017,Haguimit,Bgy,,,,R, 514 ,, 456
174005018,Hupi,Bgy,,,,R," 1,619 ",," 1,632 "
174005019,Ipil,Bgy,,,,R," 2,106 ",," 2,014 "
174005020,Jolo,Bgy,,,,R, 256 ,, 254
174005021,Kaganhao,Bgy,,,,R, 632 ,, 563
174005022,Kalangkang,Bgy,,,,R, 478 ,, 438
174005023,Kamandugan,Bgy,,,,R, 643 ,, 714
174005024,Kasily,Bgy,,,,R," 1,045 ",, 898
174005025,Kilo-kilo,Bgy,,,,R, 906 ,, 897
174005026,Ki�aman,Bgy,,,,R, 384 ,, 401
174005027,Labo,Bgy,,,,R, 531 ,, 535
174005028,Lamesa,Bgy,,,,R, 937 ,, 959
174005029,Landy,Bgy,,,,R," 1,564 ",," 1,315 "
174005030,Lapu-lapu Pob.,Bgy,5th Zone,,,R," 3,221 ",," 3,276 "
174005031,Libjo,Bgy,,,,R, 293 ,, 282
174005032,Lipa,Bgy,,,,R," 1,416 ",," 1,358 "
174005033,Lusok,Bgy,,,,R, 917 ,, 965
174005034,Maharlika Pob.,Bgy,1st Zone,,,R, 608 ,, 616
174005035,Makulapnit,Bgy,,,,R, 457 ,, 409
174005036,Maniwaya,Bgy,,,,R," 1,482 ",," 1,573 "
174005037,Manlibunan,Bgy,,,,R, 889 ,, 828
174005038,Masaguisi,Bgy,,,,R," 1,411 ",," 1,374 "
174005039,Masalukot,Bgy,,,,R, 693 ,, 647
174005040,Matalaba,Bgy,,,,R," 1,523 ",," 1,522 "
174005041,Mongpong,Bgy,,,,R," 1,353 ",," 1,362 "
174005042,Morales,Bgy,,,,R, 773 ,, 695
174005043,Napo,Bgy,,,,R," 1,727 ",," 1,889 "
174005044,Pag-Asa Pob.,Bgy,4th Zone,,,R," 1,654 ",," 1,445 "
174005045,Pantayin,Bgy,,,,R, 427 ,, 505
174005047,Polo,Bgy,,,,R, 946 ,, 845
174005048,Pulong-Parang,Bgy,,,,R, 760 ,, 911
174005049,Punong,Bgy,,,,R, 643 ,, 561
174005050,San Antonio,Bgy,,,,R, 853 ,, 909
174005051,San Isidro,Bgy,,,,R, 453 ,, 458
174005052,Tagum,Bgy,,,,R," 1,177 ",, 994
174005053,Tamayo,Bgy,,,,R, 806 ,, 761
174005054,Tambangan,Bgy,,,,R, 865 ,, 839
174005055,Tawiran,Bgy,,,,R," 1,420 ",," 1,393 "
174005056,Taytay,Bgy,,,,R," 1,423 ",," 1,498 "
174006000,Torrijos,Mun,,,3rd,," 30,524 ",," 30,476 "
174006001,Bangwayin,Bgy,,,,R, 325 ,, 309
174006002,Bayakbakin,Bgy,,,,R, 316 ,, 298
174006003,Bolo,Bgy,,,,R, 505 ,, 468
174006004,Bonliw,Bgy,,,,R," 1,199 ",," 1,280 "
174006005,Buangan,Bgy,,,,R," 2,253 ",," 2,175 "
174006006,Cabuyo,Bgy,,,,R," 1,757 ",," 1,653 "
174006007,Cagpo,Bgy,,,,R, 547 ,, 530
174006008,Dampulan,Bgy,,,,R," 1,041 ",," 1,049 "
174006009,Kay Duke,Bgy,,,,R, 512 ,, 498
174006010,Mabuhay,Bgy,,,,R, 518 ,, 492
174006011,Makawayan,Bgy,,,,R," 1,273 ",," 1,145 "
174006012,Malibago,Bgy,,,,R," 2,901 ",," 3,216 "
174006013,Malinao,Bgy,,,,R, 759 ,, 865
174006014,Maranlig,Bgy,,,,R," 1,497 ",," 1,446 "
174006015,Marlangga,Bgy,,,,R," 1,321 ",," 1,424 "
174006016,Matuyatuya,Bgy,,,,R," 1,006 ",, 919
174006017,Nangka,Bgy,,,,R, 916 ,," 1,026 "
174006018,Pakaskasan,Bgy,,,,R, 394 ,, 403
174006019,Payanas,Bgy,,,,R, 746 ,, 720
174006020,Poblacion,Bgy,,,,U," 3,389 ",," 3,016 "
174006021,Poctoy,Bgy,,,,R," 1,145 ",," 1,227 "
174006022,Sibuyao,Bgy,,,,R," 1,689 ",," 1,920 "
174006023,Suha,Bgy,,,,R," 1,654 ",," 1,599 "
174006024,Talawan,Bgy,,,,R, 443 ,, 441
174006025,Tigwi,Bgy,,,,R," 2,418 ",," 2,357 "
175100000,Occidental Mindoro,Prov,,,2nd,," 487,414 ",," 525,354 "
175101000,Abra De Ilog,Mun,,,2nd,," 31,306 ",," 35,176 "
175101001,Balao,Bgy,,,,R," 3,347 ",," 4,292 "
175101002,Cabacao,Bgy,,,,U," 5,730 ",," 6,767 "
175101003,Lumangbayan,Bgy,,,,R," 3,527 ",," 4,161 "
175101004,Poblacion,Bgy,,,,R," 2,720 ",," 2,766 "
175101005,San Vicente,Bgy,,,,R," 2,855 ",," 3,162 "
175101006,Tibag,Bgy,,,,R," 2,074 ",," 2,433 "
175101007,Udalo,Bgy,Camurong,,,R," 3,944 ",," 4,349 "
175101008,Wawa,Bgy,,,,R," 3,096 ",," 3,211 "
175101009,Armado,Bgy,,,,R," 2,136 ",," 1,991 "
175101010,Santa Maria,Bgy,,,,R," 1,877 ",," 2,044 "
175102000,Calintaan,Mun,,,3rd,," 29,826 ",," 30,190 "
175102001,Concepcion,Bgy,,,,R," 3,652 ",," 3,916 "
175102002,Iriron,Bgy,,,,R," 3,934 ",," 4,613 "
175102003,Malpalon,Bgy,,,,R," 2,572 ",," 2,274 "
175102004,New Dagupan,Bgy,,,,U," 5,272 ",," 5,402 "
175102005,Poblacion,Bgy,,,,U," 7,173 ",," 6,859 "
175102006,Poypoy,Bgy,,,,R," 3,293 ",," 3,399 "
175102007,Tanyag,Bgy,,,,R," 3,930 ",," 3,727 "
175103000,Looc,Mun,,,5th,," 10,117 ",," 7,802 "
175103001,Agkawayan,Bgy,,,,R," 1,554 ",," 1,045 "
175103002,Ambil,Bgy,,,,R," 2,035 ",," 1,725 "
175103003,Balikyas,Bgy,,,,R, 760 ,, 477
175103004,Bonbon (Pob.),Bgy,,,,R," 1,089 ",," 1,002 "
175103005,Bulacan,Bgy,,,,R, 819 ,, 587
175103006,Burol,Bgy,,,,R, 902 ,, 826
175103007,Guitna (Pob.),Bgy,,,,R, 612 ,, 412
175103008,Kanluran (Pob.),Bgy,,,,R, 615 ,, 468
175103009,Talaotao,Bgy,,,,R," 1,731 ",," 1,260 "
175104000,Lubang,Mun,,,4th,," 18,803 ",," 17,437 "
175104001,Binakas,Bgy,,,,R," 1,162 ",," 1,096 "
175104002,Cabra,Bgy,,,,R," 1,762 ",," 1,231 "
175104003,Maligaya,Bgy,,,,R, 701 ,, 558
175104004,Maliig,Bgy,,,,R," 2,349 ",," 2,314 "
175104005,Tagbac,Bgy,,,,R," 3,004 ",," 2,550 "
175104006,Tangal,Bgy,,,,R," 2,521 ",," 2,956 "
175104007,Tilik,Bgy,,,,R," 2,008 ",," 1,737 "
175104008,Vigo,Bgy,,,,R," 1,926 ",," 1,859 "
175104009,Surville (Pob.),Bgy,,,,R, 121 ,, 118
175104010,Araw At Bituin (Pob.),Bgy,,,,R, 447 ,, 400
175104011,Bagong Sikat (Pob.),Bgy,,,,R, 358 ,, 339
175104012,Banaag At Pag-Asa (Pob.),Bgy,,,,R, 335 ,, 354
175104013,Likas Ng Silangan (Pob.),Bgy,,,,R, 455 ,, 333
175104014,Maginhawa (Pob.),Bgy,,,,R, 900 ,, 833
175104015,Ninikat Ng Pag-Asa (Pob.),Bgy,,,,R, 392 ,, 415
175104016,Paraiso (Pob.),Bgy,,,,R, 362 ,, 344
175105000,Magsaysay,Mun,,,3rd,," 36,016 ",," 39,767 "
175105001,Alibog,Bgy,,,,R," 2,802 ",," 3,166 "
175105003,Caguray,Bgy,,,,U," 3,143 ",," 3,442 "
175105004,Calawag,Bgy,,,,R," 1,055 ",," 1,089 "
175105005,Gapasan,Bgy,,,,R," 2,038 ",," 2,404 "
175105006,Laste,Bgy,,,,R," 1,699 ",," 1,836 "
175105007,Lourdes,Bgy,,,,R," 1,921 ",," 1,977 "
175105008,Nicolas,Bgy,Bulo,,,R," 3,277 ",," 4,136 "
175105009,Paclolo,Bgy,,,,R," 2,857 ",," 3,125 "
175105010,Poblacion,Bgy,,,,U," 8,987 ",," 9,681 "
175105011,Purnaga,Bgy,,,,R," 4,226 ",," 4,310 "
175105012,Santa Teresa,Bgy,,,,R," 2,307 ",," 2,723 "
175105013,Sibalat,Bgy,,,,R," 1,704 ",," 1,878 "
175106000,Mamburao (Capital),Mun,,,2nd,," 42,975 ",," 47,705 "
175106001,Balansay,Bgy,,,,U," 6,958 ",," 7,327 "
175106002,Fatima,Bgy,Tii,,,R," 2,080 ",," 2,665 "
175106003,Payompon,Bgy,,,,U," 10,706 ",," 12,043 "
175106004,San Luis,Bgy,Ligang,,,R," 1,267 ",," 2,433 "
175106005,Talabaan,Bgy,,,,R," 2,556 ",," 2,766 "
175106006,Tangkalan,Bgy,,,,R," 2,677 ",," 2,421 "
175106007,Tayamaan,Bgy,,,,U," 8,764 ",," 10,129 "
175106008,Poblacion 1,Bgy,Barangay 1,,,R, 251 ,, 284
175106009,Poblacion 2,Bgy,Barangay 2,,,R," 2,221 ",," 2,084 "
175106010,Poblacion 3,Bgy,Barangay 3,,,R, 218 ,, 280
175106011,Poblacion 4,Bgy,Barangay 4,,,R, 866 ,, 732
175106012,Poblacion 5,Bgy,Barangay 5,,,R, 434 ,, 518
175106013,Poblacion 6,Bgy,Barangay 6,,,R, 567 ,, 542
175106014,Poblacion 7,Bgy,Barangay 7,,,U," 2,197 ",," 2,283 "
175106015,Poblacion 8,Bgy,Barangay 8,,,R," 1,213 ",," 1,198 "
175107000,Paluan,Mun,,,3rd,," 16,025 ",," 18,566 "
175107001,Alipaoy,Bgy,,,,R," 1,635 ",," 2,269 "
175107002,Harrison,Bgy,,,,R," 3,461 ",," 4,751 "
175107003,Lumangbayan,Bgy,,,,R, 809 ,, 715
175107004,Mananao,Bgy,,,,R," 1,895 ",," 1,774 "
175107005,Marikit,Bgy,,,,R," 1,596 ",," 1,850 "
175107006,Mapalad Pob.,Bgy,Bgy 1,,,R," 1,789 ",," 1,961 "
175107007,Handang Tumulong Pob.,Bgy,Bgy 2,,,R, 442 ,, 330
175107008,Silahis Ng Pag-Asa Pob.,Bgy,Bgy 3,,,R, 533 ,, 443
175107009,Pag-Asa Ng Bayan Pob.,Bgy,Bgy 4,,,R, 372 ,, 379
175107010,Bagong Silang Pob.,Bgy,Bgy 5,,,R, 250 ,, 182
175107011,San Jose Pob.,Bgy,Bgy 6,,,R, 631 ,, 588
175107012,Tubili,Bgy,,,,R," 2,612 ",," 3,324 "
175108000,Rizal,Mun,,,3rd,," 38,263 ",," 40,429 "
175108001,Adela,Bgy,,,,R," 3,451 ",," 4,199 "
175108002,Aguas,Bgy,,,,R," 2,665 ",," 2,527 "
175108003,Magsikap,Bgy,,,,R," 3,240 ",," 3,357 "
175108004,Malawaan,Bgy,,,,U," 5,285 ",," 5,834 "
175108005,Pitogo,Bgy,,,,R," 2,513 ",," 2,429 "
175108006,Rizal,Bgy,,,,R," 3,327 ",," 3,226 "
175108007,Rumbang,Bgy,,,,R," 3,524 ",," 3,936 "
175108008,Salvacion,Bgy,,,,R," 2,357 ",," 2,605 "
175108009,San Pedro,Bgy,,,,R," 2,703 ",," 2,477 "
175108010,Santo Ni�o,Bgy,,,,R," 3,517 ",," 3,901 "
175108012,Manoot,Bgy,,,,U," 5,681 ",," 5,938 "
175109000,Sablayan,Mun,,,1st,," 83,169 ",," 92,598 "
175109001,Batong Buhay,Bgy,,,,R," 4,683 ",," 5,177 "
175109002,Buenavista,Bgy,,,,U," 8,908 ",," 9,617 "
175109003,Burgos,Bgy,,,,R," 2,559 ",," 3,136 "
175109004,Claudio Salgado,Bgy,,,,R," 4,278 ",," 4,679 "
175109005,General Emilio Aguinaldo,Bgy,,,,R," 2,418 ",," 2,690 "
175109006,Ibud,Bgy,,,,R," 1,903 ",," 1,996 "
175109007,Ilvita,Bgy,,,,R," 2,816 ",," 2,900 "
